subject,method,retainedDirections,LatAz0El0,LatAz0El0_nearestAzDeg,LatAz0El0_nearestElDeg,LatAz0El0_nearestAngularErrorDeg,LatAz45El0,LatAz45El0_nearestAzDeg,LatAz45El0_nearestElDeg,LatAz45El0_nearestAngularErrorDeg,LatAz90El0,LatAz90El0_nearestAzDeg,LatAz90El0_nearestElDeg,LatAz90El0_nearestAngularErrorDeg,VertAz0El0,VertAz0El0_nearestAzDeg,VertAz0El0_nearestElDeg,VertAz0El0_nearestAngularErrorDeg,VertAz0El45,VertAz0El45_nearestAzDeg,VertAz0El45_nearestElDeg,VertAz0El45_nearestAngularErrorDeg
0010,Measured,dense,1.5335082958839368,0.0,0.0,0.0,3.1701258808982082,45.0,0.0,0.0,7.863619697026018,90.0,0.0,0.0,3.4605074860345826,0.0,0.0,0.0,5.925326206132316,0.0,45.0,0.0
0022,Measured,dense,1.3745257772251906,0.0,0.0,0.0,3.418140002159844,45.0,0.0,0.0,9.207896401177234,90.0,0.0,0.0,5.481168036676633,0.0,0.0,0.0,6.145850392557584,0.0,45.0,0.0
0026,Measured,dense,1.6027789481238515,0.0,0.0,0.0,2.9386563809948125,45.0,0.0,0.0,7.803662435728924,90.0,0.0,0.0,4.540846612968113,0.0,0.0,0.0,6.235096094262167,0.0,45.0,0.0
0030,Measured,dense,1.6039986819875485,0.0,0.0,0.0,3.608004997329915,45.0,0.0,0.0,6.777735661875912,90.0,0.0,0.0,3.925962860006772,0.0,0.0,0.0,5.341809675556328,0.0,45.0,0.0
0032,Measured,dense,1.6164892327602571,0.0,0.0,0.0,3.3762626029036036,45.0,0.0,0.0,7.045862846616693,90.0,0.0,0.0,3.4807699127534786,0.0,0.0,0.0,4.552624327096563,0.0,45.0,0.0
0033,Measured,dense,1.4154931218748839,0.0,0.0,0.0,3.1499082628394746,45.0,0.0,0.0,6.430729081639795,90.0,0.0,0.0,4.4529647697197445,0.0,0.0,0.0,4.0050249760704055,0.0,45.0,0.0
0037,Measured,dense,1.7824011609264439,0.0,0.0,0.0,2.632668290391677,45.0,0.0,0.0,6.3605858001063975,90.0,0.0,0.0,4.821447966752648,0.0,0.0,0.0,6.209488102222505,0.0,45.0,0.0
0040,Measured,dense,1.5471186323900055,0.0,0.0,0.0,3.265610940703539,45.0,0.0,0.0,8.456574532941794,90.0,0.0,0.0,4.637391870259075,0.0,0.0,0.0,5.4242159570012385,0.0,45.0,0.0
0048,Measured,dense,1.6224778739691355,0.0,0.0,0.0,2.5584839070098075,45.0,0.0,0.0,6.743783720919457,90.0,0.0,0.0,5.303461164820525,0.0,0.0,0.0,5.015076329958918,0.0,45.0,0.0
0059,Measured,dense,1.5507996329944014,0.0,0.0,0.0,3.5799969720753753,45.0,0.0,0.0,9.205522471878018,90.0,0.0,0.0,3.9953718374223346,0.0,0.0,0.0,5.870922726081966,0.0,45.0,0.0
0068,Measured,dense,1.8812954794683345,0.0,0.0,0.0,2.8403137079170007,45.0,0.0,0.0,5.998020423017492,90.0,0.0,0.0,4.114165524414283,0.0,0.0,0.0,5.782261084270464,0.0,45.0,0.0
0071,Measured,dense,1.5415190321110186,0.0,0.0,0.0,2.532880459301651,45.0,0.0,0.0,6.673731242367807,90.0,0.0,0.0,4.435882507558666,0.0,0.0,0.0,5.9949733718695235,0.0,45.0,0.0
0073,Measured,dense,1.7393638855483102,0.0,0.0,0.0,3.4199538326717716,45.0,0.0,0.0,7.335999971280597,90.0,0.0,0.0,4.307030097714742,0.0,0.0,0.0,6.094705203668868,0.0,45.0,0.0
0078,Measured,dense,1.5298567068993822,0.0,0.0,0.0,3.3820034310123277,45.0,0.0,0.0,6.141297642703858,90.0,0.0,0.0,4.409496516311024,0.0,0.0,0.0,4.7018376748414035,0.0,45.0,0.0
0080,Measured,dense,1.540218588874662,0.0,0.0,0.0,2.5902119216009076,45.0,0.0,0.0,4.900817043507757,90.0,0.0,0.0,4.746774374842702,0.0,0.0,0.0,6.106320839457296,0.0,45.0,0.0
0082,Measured,dense,1.713638255722786,0.0,0.0,0.0,3.2146474658778574,45.0,0.0,0.0,6.013498716583659,90.0,0.0,0.0,4.141907950813861,0.0,0.0,0.0,6.279692047376507,0.0,45.0,0.0
0083,Measured,dense,1.7464550074556293,0.0,0.0,0.0,2.9072865559763885,45.0,0.0,0.0,8.445913494083463,90.0,0.0,0.0,4.334545902535982,0.0,0.0,0.0,7.008189231400903,0.0,45.0,0.0
0088,Measured,dense,1.6027513441937409,0.0,0.0,0.0,3.1166804720744756,45.0,0.0,0.0,8.407973726620828,90.0,0.0,0.0,4.194737209167831,0.0,0.0,0.0,4.801046666492298,0.0,45.0,0.0
0089,Measured,dense,1.5102977142509217,0.0,0.0,0.0,3.1568231795243773,45.0,0.0,0.0,8.704133567768256,90.0,0.0,0.0,4.812925512491027,0.0,0.0,0.0,4.2940920962040465,0.0,45.0,0.0
