subjectId,retainedDirections,LSDdB_20_16k
10,100,4.30712850539228
100,100,4.10632919256528
104,100,4.01573492245496
116,100,4.419244810469
118,100,3.9928293956702
128,100,4.22736914374337
141,100,4.19463630033719
143,100,4.13232650967711
148,100,4.00541403488463
149,100,4.09518004773934
152,100,4.45779320896181
166,100,4.15986612490348
168,100,4.33297942298002
169,100,4.37287310572734
172,100,4.20336795515589
173,100,4.26932181541303
175,100,4.14899008490604
179,100,4.26403670171609
191,100,4.1703577471046
193,100,4.24032296085718
196,100,4.26831100793754
198,100,4.1809577131309
200,100,4.24058481304584
22,100,4.33988359681489
26,100,4.48791193728267
30,100,4.18458615549848
32,100,4.19542841323049
33,100,4.01934503598202
37,100,4.17419232808006
40,100,3.98963833262841
48,100,4.05135660708289
59,100,3.84858358948243
68,100,4.52871926571866
71,100,4.08687547127196
73,100,4.15846560188212
78,100,4.41171042196178
80,100,4.19987638595022
82,100,4.27755982151863
83,100,4.16437206655597
88,100,4.28886410598804
89,100,4.25402968394688
10,19,4.55891748469948
100,19,4.68500334069312
104,19,4.30911211591614
116,19,4.80388683414097
118,19,4.64632268757493
128,19,4.77445825088546
141,19,4.45578758014448
143,19,4.48519220912803
148,19,4.28418642063442
149,19,4.42224440621987
152,19,4.67723092593747
166,19,4.67783317690329
168,19,4.50809423377563
169,19,4.67449455442362
172,19,4.21813809822971
173,19,4.83461098057199
175,19,4.17510076419461
179,19,4.81388438626929
191,19,4.37318142407779
193,19,4.5404421219195
196,19,4.74838816475147
198,19,4.95606287807376
200,19,4.83087492780311
22,19,4.60667893923899
26,19,4.94184091851791
30,19,4.64191673177311
32,19,4.38322662372966
33,19,4.49647817267351
37,19,4.61453733834233
40,19,4.23498808691456
48,19,4.63120029350627
59,19,4.27965123959187
68,19,4.79087921328284
71,19,4.48489109254898
73,19,4.21741344979763
78,19,4.72832249553547
80,19,4.63028714167341
82,19,4.394643637857
83,19,4.52405198823868
88,19,4.41226215765511
89,19,4.39003526946932
10,5,5.06925091878255
100,5,4.79443356899175
104,5,4.46600395126706
116,5,5.17591590911268
118,5,5.09830768747224
128,5,5.53982929818654
141,5,4.84357404594572
143,5,4.93465678031831
148,5,4.60024885418831
149,5,4.6955744096641
152,5,5.22030859342029
166,5,5.26397360975034
168,5,4.82857660121748
169,5,5.12925850285405
172,5,4.50040370031807
173,5,5.41495258610096
175,5,4.69458464561044
179,5,5.56317935406118
191,5,4.83418144245377
193,5,4.98187288291083
196,5,4.97006783667397
198,5,4.94360299590016
200,5,5.66318347605251
22,5,5.1394354605348
26,5,5.58223414015061
30,5,5.12532722292415
32,5,4.79351992190723
33,5,4.93349951535224
37,5,4.86538082324375
40,5,4.66092065594358
48,5,5.17211174364008
59,5,4.55836547616104
68,5,5.25118025484902
71,5,4.49028705616778
73,5,4.31522532965714
78,5,5.24631654006585
80,5,5.25357947221185
82,5,5.0502103087369
83,5,4.82015012697901
88,5,5.15502183516547
89,5,4.95833326820446
10,3,5.13451945606508
100,3,4.92190327540726
104,3,4.54556457691326
116,3,5.88441325108435
118,3,5.50260156796742
128,3,5.9581023645825
141,3,5.10255500353593
143,3,5.62134285328877
148,3,4.73117683727394
149,3,5.12163605654764
152,3,5.41920062790166
166,3,5.58508264263838
168,3,5.06512293997858
169,3,5.33265963303457
172,3,4.54940755123132
173,3,5.71853645710987
175,3,4.84255849917336
179,3,5.97828901600106
191,3,4.9946435727423
193,3,5.43789806882817
196,3,5.62413395812541
198,3,5.23036235084282
200,3,5.89070106562346
22,3,5.483161756563
26,3,5.75309172061502
30,3,5.47009360698363
32,3,5.0776580118951
33,3,5.06309313448964
37,3,5.18395389656664
40,3,4.90192632344622
48,3,5.28537635046959
59,3,4.78434856095606
68,3,5.4024462839673
71,3,4.51767310877793
73,3,4.36366084102615
78,3,5.44228082651039
80,3,5.36638642721871
82,3,5.01548801567039
83,3,5.53777277124488
88,3,5.42547099596044
89,3,5.25106346766025
